lens,model,variable,bin_left,bin_right,n,detected,efficiency,ci_low,ci_high,target_fpp
PM,pi_resnet,y,0.009000000000000001,0.068,371,150,0.40431266846361186,0.35560240958893297,0.45498417754212683,0.001
PM,pi_resnet,y,0.068,0.126,369,97,0.26287262872628725,0.22056732657474487,0.31006427069040665,0.001
PM,pi_resnet,y,0.126,0.184,374,51,0.13636363636363635,0.10526118900748606,0.17486015911307978,0.001
PM,pi_resnet,y,0.184,0.242,326,57,0.17484662576687116,0.13746766200440239,0.2197993087457912,0.001
PM,pi_resnet,y,0.242,0.3,310,43,0.13870967741935483,0.10463678090495603,0.1816270516628849,0.001
PM,cqt_deit,y,0.009000000000000001,0.068,371,69,0.18598382749326145,0.14968138272521686,0.2287224877189652,0.001
PM,cqt_deit,y,0.068,0.126,369,33,0.08943089430894309,0.0643879635445,0.12293417343459087,0.001
PM,cqt_deit,y,0.126,0.184,374,32,0.0855614973262032,0.06125809218966981,0.11829197368303394,0.001
PM,cqt_deit,y,0.184,0.242,326,15,0.046012269938650305,0.02807943789588939,0.07451972881192813,0.001
PM,cqt_deit,y,0.242,0.3,310,13,0.041935483870967745,0.024668551661785318,0.07041595034387015,0.001
PM,pi_resnet,flux_ratio,1.02,1.13,333,139,0.4174174174174174,0.3656885544926583,0.4710298821494377,0.001
PM,pi_resnet,flux_ratio,1.13,1.284,401,105,0.26184538653366585,0.2212201766467793,0.30699019845565145,0.001
PM,pi_resnet,flux_ratio,1.284,1.437,360,50,0.1388888888888889,0.10696265193512933,0.1784403891511493,0.001
PM,pi_resnet,flux_ratio,1.437,1.618,339,57,0.168141592920354,0.13209772984831442,0.2116222485523292,0.001
PM,pi_resnet,flux_ratio,1.618,1.818,314,44,0.14012738853503184,0.10606862848340215,0.1828850503773069,0.001
PM,cqt_deit,flux_ratio,1.02,1.13,333,63,0.1891891891891892,0.15075815482555227,0.23470941580924526,0.001
PM,cqt_deit,flux_ratio,1.13,1.284,401,37,0.09226932668329177,0.06768281304707027,0.12459358830630596,0.001
PM,cqt_deit,flux_ratio,1.284,1.437,360,31,0.08611111111111111,0.06132668720100408,0.1196352598901922,0.001
PM,cqt_deit,flux_ratio,1.437,1.618,339,16,0.0471976401179941,0.029257721611236968,0.07528464891764118,0.001
PM,cqt_deit,flux_ratio,1.618,1.818,314,14,0.044585987261146494,0.02674192877990773,0.07343839048629928,0.001
PM,pi_resnet,rho_min,2.9,28.439,359,9,0.025069637883008356,0.013244174581490527,0.04695142404630452,0.001
PM,pi_resnet,rho_min,28.439,49.587,352,24,0.06818181818181818,0.04624277744227484,0.09944417818258014,0.001
PM,pi_resnet,rho_min,49.587,76.218,329,75,0.22796352583586627,0.18592466454426637,0.276281754589266,0.001
PM,pi_resnet,rho_min,76.218,134.46,393,120,0.3053435114503817,0.26187604262853675,0.3525795627543415,0.001
PM,pi_resnet,rho_min,134.46,1001.809,312,167,0.5352564102564102,0.47982105571452616,0.5898341443410484,0.001
PM,cqt_deit,rho_min,2.9,28.439,359,2,0.005571030640668524,0.0015291093879739055,0.020082144315449087,0.001
PM,cqt_deit,rho_min,28.439,49.587,352,19,0.05397727272727273,0.034824824426670675,0.08275972842268613,0.001
PM,cqt_deit,rho_min,49.587,76.218,329,26,0.0790273556231003,0.054498675175055106,0.11327326951761799,0.001
PM,cqt_deit,rho_min,76.218,134.46,393,57,0.1450381679389313,0.11365817918019391,0.18329027769446624,0.001
PM,cqt_deit,rho_min,134.46,1001.809,312,57,0.18269230769230768,0.14376181794557996,0.22934138155424794,0.001
